t,mag
561.626,1.007
561.646,1.008
561.666,1.003
561.686,0.997
561.706,1.027
561.726,0.978
561.746,1.012
561.766,0.984
561.786,0.990
561.806,1.033
561.826,0.987
561.846,1.012
561.866,1.006
561.886,1.013
561.906,1.045
561.926,0.959
561.946,1.021
561.966,0.980
561.986,1.010
562.006,1.033
562.026,0.992
562.046,1.028
562.066,0.987
562.086,1.009
562.106,1.000
562.126,0.984
562.146,1.034
562.166,0.992
562.186,1.001
562.206,1.025
562.226,0.989
562.246,1.000
562.266,1.003
562.286,1.013
562.306,0.985
562.326,1.029
562.346,0.971
562.366,1.027
562.386,1.031
562.406,0.969
562.426,1.037
562.446,0.991
562.466,1.021
562.486,1.008
562.506,0.965
562.526,1.037
562.546,0.969
562.566,1.023
562.586,1.011
562.606,0.998
562.626,1.030
562.646,0.982
562.666,1.006
562.686,0.986
562.706,1.005
562.726,1.025
562.746,0.986
562.766,1.025
562.786,1.000
562.806,0.972
562.826,1.023
562.846,1.002
562.866,1.008
562.886,1.006
562.906,1.013
562.926,0.983
562.946,1.023
562.966,1.015
562.986,0.975
563.006,1.049
563.026,0.974
563.046,1.015
563.066,1.013
563.086,0.971
563.106,1.013
563.126,0.983
563.146,1.034
563.166,1.004
563.186,1.007
563.206,1.028
563.226,0.975
563.246,1.010
563.266,0.987
563.286,1.000
563.306,1.021
563.326,0.990
563.346,1.025
563.366,1.002
563.386,0.995
563.406,1.028
563.426,0.977
563.446,1.005
563.466,1.013
563.486,0.999
563.506,1.010
563.526,1.007
563.546,0.982
563.566,0.982
563.586,1.013
563.606,0.980
563.626,1.038
563.646,0.990
563.666,1.001
563.686,1.035
563.706,0.974
563.726,1.027
563.746,1.002
563.766,0.978
563.786,1.035
563.806,0.962
563.826,1.024
563.846,1.003
563.866,1.004
563.886,1.017
563.906,0.995
563.926,1.028
563.946,0.996
563.966,0.913
563.986,0.966
564.006,1.004
564.026,0.965
564.046,1.059
564.066,0.965
564.086,1.016
564.106,1.028
564.126,0.997
564.146,0.990
564.166,1.019
564.186,0.988
564.206,1.021
564.226,0.985
564.246,1.005
564.266,0.985
564.286,1.014
564.306,0.992
564.326,1.000
564.346,1.000
564.366,1.005
564.386,0.998
564.406,1.004
564.426,1.003
564.446,1.004
564.466,1.153
564.486,0.974
564.506,1.008
564.526,1.046
564.546,0.944
564.566,1.058
564.586,0.984
564.606,0.985
564.626,1.011
564.646,0.994
564.666,1.003
