t,mag
752.561,1.019
752.581,1.022
752.601,0.969
752.621,1.019
752.641,1.009
752.661,1.017
752.681,1.010
752.701,1.010
752.721,1.014
752.741,0.927
752.761,1.002
752.781,1.010
752.801,1.012
752.821,1.009
752.841,0.992
752.861,1.016
752.881,1.010
752.901,1.053
752.921,1.017
752.941,0.998
752.961,1.027
752.981,1.031
753.001,0.531
753.021,1.124
753.041,1.019
753.061,1.013
753.081,1.143
753.101,0.988
753.121,1.008
753.141,1.001
753.161,0.959
753.181,0.993
753.201,1.010
753.221,1.022
753.241,1.009
753.261,1.018
753.281,1.008
753.301,1.014
753.321,1.014
753.341,1.010
753.361,1.007
753.381,1.014
753.401,1.037
753.421,1.012
753.441,1.013
753.461,1.029
753.481,1.013
753.501,1.013
753.521,1.010
753.541,1.008
753.561,0.996
753.581,1.014
753.601,1.038
753.621,1.008
753.641,1.010
753.661,1.013
753.681,1.044
753.701,1.042
753.721,1.033
753.741,1.013
753.761,1.011
753.781,1.006
753.801,1.013
753.821,1.010
753.841,1.030
753.861,1.014
753.881,1.006
753.901,1.016
753.921,1.011
753.941,1.024
753.961,1.006
753.981,1.074
754.001,0.973
754.021,1.020
754.041,1.022
754.061,1.047
754.081,1.189
754.101,1.006
754.121,1.008
754.141,1.016
754.161,1.014
754.181,1.000
754.201,1.012
754.221,1.014
754.241,1.014
754.261,1.192
754.281,1.012
754.301,1.007
754.321,1.011
754.341,1.008
754.361,1.033
754.381,1.079
754.401,1.003
754.421,1.027
754.441,1.026
754.461,1.481
754.481,1.122
754.501,1.041
754.521,1.058
754.541,1.073
754.561,1.243
754.581,1.128
754.601,1.022
754.621,1.025
754.641,1.008
754.661,1.011
754.681,1.094
754.701,0.992
754.721,1.024
754.741,0.974
754.761,1.056
754.781,0.986
754.801,1.057
754.821,0.980
754.841,1.035
754.861,0.981
754.881,1.031
754.901,1.102
754.921,1.038
754.941,1.002
754.961,1.021
754.981,0.994
755.001,1.039
755.021,1.021
755.041,1.012
755.061,1.006
755.081,1.026
755.101,1.004
755.121,1.020
755.141,1.064
755.161,1.006
755.181,1.016
755.201,1.019
755.221,1.014
755.241,1.018
755.261,1.008
755.281,0.998
755.301,1.032
755.321,1.008
755.341,1.010
755.361,1.035
755.381,1.015
755.401,1.062
755.421,1.019
755.441,1.012
755.461,1.018
755.481,1.012
755.501,1.021
755.521,0.995
755.541,1.008
755.561,1.007
755.581,1.009
755.601,1.003
755.621,1.014
755.641,1.007
755.661,1.019
755.681,1.034
755.701,1.011
755.721,1.007
755.741,1.015
755.761,1.170
755.781,1.333
755.801,2.007
755.821,2.286
755.841,6.470
755.861,2.129
755.881,4.005
755.901,1.214
755.921,0.610
755.941,0.771
755.961,2.337
755.981,0.953
756.001,1.034
756.021,0.963
756.041,0.980
756.061,0.995
756.081,0.948
756.101,0.878
756.121,0.926
756.141,0.969
756.161,0.851
756.181,0.913
756.201,0.909
756.221,0.994
756.241,0.914
756.261,0.940
756.281,0.870
756.301,0.955
756.321,0.916
756.341,0.926
756.361,1.012
756.381,1.130
756.401,0.989
756.421,0.922
756.441,0.893
756.461,0.923
756.481,0.881
756.501,0.940
756.521,0.931
756.541,0.961
756.561,1.015
756.581,0.998
756.601,0.809
756.621,0.892
756.641,0.912
756.661,0.967
756.681,0.932
756.701,0.937
756.721,0.925
756.741,0.929
756.761,0.924
756.781,0.928
756.801,0.926
756.821,1.004
756.841,0.986
756.861,1.002
756.881,1.056
756.901,1.155
756.921,0.800
756.941,0.795
756.961,0.893
756.981,0.762
757.001,0.831
757.021,0.998
757.041,1.001
757.061,0.998
757.081,0.763
757.101,0.821
757.121,1.077
757.141,0.927
757.161,0.922
757.181,0.871
757.201,0.932
757.221,1.008
757.241,0.920
757.261,0.818
757.281,0.973
757.301,1.020
757.321,0.908
757.341,0.871
757.361,0.999
757.381,0.911
757.401,0.929
757.421,0.975
757.441,0.956
757.461,0.914
757.481,0.958
757.501,0.986
757.521,0.948
757.541,0.807
757.561,0.926
757.581,0.973
757.601,0.913
757.621,0.972
757.641,0.951
757.661,0.963
757.681,0.969
757.701,0.987
757.721,0.970
757.741,0.935
757.761,0.979
757.781,0.935
757.801,1.016
757.821,1.027
757.841,0.918
757.861,0.934
757.881,0.972
757.901,0.742
757.921,1.117
757.941,0.917
757.961,1.006
757.981,0.970
758.001,0.920
758.021,0.869
758.041,0.940
758.061,0.970
758.081,0.926
758.101,0.987
758.121,0.956
758.141,0.934
758.161,0.967
758.181,0.994
758.201,0.967
758.221,1.004
758.241,0.975
758.261,0.988
758.281,0.972
758.301,0.968
758.321,0.902
758.341,0.904
758.361,0.918
758.381,0.964
758.401,0.965
758.421,0.973
758.441,1.015
758.461,0.997
758.481,1.007
758.501,1.165
758.521,1.120
758.541,1.184
758.561,1.210
758.581,1.069
758.601,0.868
758.621,0.891
758.641,0.756
758.661,0.944
758.681,1.022
758.701,0.980
758.721,0.990
758.741,0.951
758.761,1.002
758.781,0.955
758.801,1.007
758.821,1.026
758.841,1.023
758.861,0.985
758.881,0.986
758.901,0.921
758.921,1.032
758.941,1.143
758.961,1.061
758.981,0.972
759.001,0.972
759.021,0.994
759.041,1.082
759.061,0.992
759.081,0.906
759.101,0.889
759.121,1.017
759.141,0.997
759.161,0.992
759.181,1.054
759.201,0.914
759.221,0.891
759.241,0.776
759.261,0.895
759.281,0.719
759.301,1.125
759.321,1.218
759.341,1.482
759.361,0.846
759.381,1.279
759.401,1.203
759.421,0.891
759.441,0.877
759.461,0.905
759.481,0.741
759.501,1.008
759.521,0.791
759.541,1.061
759.561,0.594
759.581,1.286
759.601,0.870
759.621,1.284
759.641,1.080
759.661,1.193
759.681,1.065
759.701,0.947
759.721,1.053
759.741,1.003
759.761,1.103
759.781,1.015
759.801,0.929
759.821,0.903
759.841,0.956
759.861,0.980
759.881,0.879
759.901,0.737
759.921,1.000
759.941,0.984
759.961,1.190
759.981,1.119
760.001,1.046
760.021,0.678
760.041,1.103
760.061,1.129
760.081,0.943
760.101,0.989
760.121,1.032
760.141,1.152
760.161,1.037
760.181,1.069
760.201,1.123
760.221,1.077
760.241,0.981
760.261,1.044
760.281,1.257
760.301,0.974
760.321,1.024
760.341,0.983
760.361,0.927
760.381,0.752
760.401,0.789
760.421,1.285
760.441,1.040
760.461,1.047
760.481,0.913
760.501,4.523
760.521,0.852
760.541,0.770
760.561,0.890
760.581,1.000
760.601,0.780
760.621,1.007
760.641,0.890
760.661,1.055
760.681,1.052
760.701,0.884
760.721,0.942
760.741,1.071
760.761,1.057
760.781,1.101
760.801,0.986
760.821,1.093
760.841,1.081
760.861,1.024
760.881,1.111
760.901,0.966
760.921,0.934
760.941,1.149
760.961,1.115
760.981,1.100
761.001,1.835
761.021,0.708
761.041,1.047
761.061,0.862
761.081,0.968
761.101,1.082
761.121,1.053
761.141,1.034
761.161,0.917
761.181,1.144
761.201,1.050
761.221,1.116
761.241,0.859
761.261,0.861
761.281,0.537
761.301,0.929
761.321,0.948
761.341,0.834
761.361,1.004
761.381,0.957
761.401,1.203
761.421,1.165
761.441,0.994
761.461,1.036
761.481,1.093
761.501,0.916
761.521,1.105
761.541,0.960
761.561,0.931
761.581,1.029
761.601,0.907
761.621,0.849
761.641,0.967
761.661,1.146
761.681,1.658
761.701,1.003
761.721,1.221
761.741,0.975
761.761,0.916
761.781,1.304
761.801,1.314
761.821,1.130
761.841,1.095
761.861,1.176
761.881,1.133
761.901,0.886
761.921,0.728
761.941,0.852
761.961,0.797
761.981,0.967
762.001,0.943
762.021,1.083
762.041,1.180
762.061,1.658
762.081,0.979
762.101,1.087
762.121,1.092
762.141,0.812
762.161,0.851
762.181,0.792
762.201,1.129
762.221,0.883
762.241,1.205
762.261,1.109
762.281,1.190
762.301,1.089
762.321,1.028
762.341,0.825
762.361,0.907
762.381,0.956
762.401,1.022
762.421,1.066
762.441,1.174
762.461,1.225
762.481,1.233
762.501,1.255
762.521,0.988
762.541,1.062
762.561,1.077
762.581,1.047
762.601,0.922
762.621,0.869
762.641,0.999
762.661,0.954
762.681,0.754
762.701,1.104
762.721,1.107
762.741,0.951
762.761,0.871
762.781,0.956
762.801,1.219
762.821,1.067
762.841,1.063
762.861,0.982
762.881,0.997
762.901,0.758
762.921,1.060
762.941,1.002
762.961,0.993
762.981,0.999
763.001,0.920
763.021,0.947
763.041,1.005
763.061,0.906
763.081,0.891
763.101,0.874
763.121,1.092
763.141,0.983
763.161,1.002
763.181,0.987
763.201,1.132
763.221,1.119
763.241,1.063
763.261,1.046
763.281,1.081
763.301,1.003
763.321,1.057
763.341,1.140
763.361,1.084
763.381,1.137
763.401,0.983
763.421,0.997
763.441,0.985
763.461,0.926
763.481,0.870
763.501,1.022
763.521,1.017
763.541,0.902
763.561,0.929
763.581,1.082
763.601,1.115
763.621,1.099
763.641,1.001
763.661,0.967
763.681,0.977
763.701,1.098
763.721,1.050
763.741,0.942
763.761,0.824
763.781,0.816
763.801,1.009
763.821,0.926
763.841,0.782
763.861,0.750
763.881,1.184
763.901,1.194
763.921,0.910
763.941,0.978
763.961,1.058
763.981,1.008
764.001,1.041
764.021,0.984
764.041,0.900
764.061,0.917
764.081,0.898
764.101,0.948
764.121,1.059
764.141,1.068
764.161,1.032
764.181,1.083
764.201,1.038
764.221,0.967
764.241,1.086
764.261,1.070
764.281,1.077
764.301,1.125
764.321,1.190
764.341,1.011
764.361,1.008
764.381,1.045
764.401,1.014
764.421,0.955
764.441,0.966
764.461,1.008
764.481,1.050
764.501,1.062
764.521,0.993
764.541,0.979
764.561,0.953
764.581,0.940
764.601,1.117
764.621,1.043
764.641,1.049
764.661,0.986
764.681,0.988
764.701,1.052
764.721,1.046
764.741,1.067
764.761,1.020
764.781,0.984
764.801,1.013
764.821,1.004
764.841,0.977
764.861,0.967
764.881,1.010
764.901,1.030
764.921,0.982
764.941,0.964
764.961,1.032
764.981,1.039
765.001,0.947
765.021,0.940
765.041,1.011
765.061,0.967
765.081,1.020
765.101,1.076
765.121,1.071
765.141,1.004
765.161,1.068
765.181,1.075
765.201,1.042
765.221,1.177
765.241,0.929
765.261,0.938
765.281,0.960
765.301,0.936
765.321,1.009
765.341,1.001
765.361,1.016
765.381,1.041
765.401,1.081
765.421,1.040
765.441,1.024
765.461,0.991
765.481,1.014
765.501,1.008
765.521,0.998
765.541,1.001
765.561,1.034
765.581,1.048
765.601,1.056
765.621,1.047
765.641,1.030
765.661,1.025
765.681,1.058
765.701,1.044
765.721,1.017
765.741,0.997
765.761,1.012
765.781,1.043
765.801,1.053
765.821,1.031
765.841,1.051
765.861,1.045
765.881,0.946
765.901,0.903
765.921,0.887
765.941,0.866
765.961,0.915
765.981,0.943
766.001,0.983
766.021,1.134
766.041,1.108
766.061,1.101
766.081,1.033
766.101,0.979
766.121,0.976
766.141,0.940
766.161,1.018
766.181,1.043
766.201,1.033
766.221,1.020
766.241,1.028
766.261,1.035
766.281,1.052
766.301,1.023
766.321,0.984
766.341,1.011
766.361,1.018
766.381,1.031
766.401,1.002
766.421,0.975
766.441,0.946
766.461,0.901
766.481,0.989
766.501,1.005
766.521,0.968
766.541,1.067
766.561,1.145
766.581,1.051
766.601,1.051
766.621,1.064
766.641,1.091
766.661,1.104
766.681,1.026
766.701,1.001
766.721,1.042
766.741,1.021
766.761,1.030
766.781,1.009
766.801,0.992
766.821,1.003
766.841,0.960
766.861,0.988
766.881,0.980
766.901,0.986
766.921,1.008
766.941,1.006
766.961,1.118
766.981,1.026
767.001,1.042
767.021,1.011
767.041,0.939
767.061,0.961
767.081,0.984
767.101,1.016
767.121,1.013
767.141,1.010
767.161,1.010
767.181,1.044
767.201,1.022
767.221,1.018
767.241,1.094
767.261,0.989
767.281,0.957
767.301,1.011
767.321,1.020
767.341,1.010
767.361,1.007
767.381,1.004
767.401,0.923
767.421,0.905
767.441,0.986
767.461,1.006
767.481,1.063
767.501,1.066
767.521,1.018
767.541,1.029
767.561,1.004
767.581,1.061
767.601,1.075
767.621,1.036
767.641,1.026
767.661,0.993
767.681,1.009
767.701,1.043
767.721,1.039
767.741,1.067
767.761,1.047
767.781,1.028
767.801,1.119
767.821,1.029
767.841,1.044
767.861,1.041
767.881,1.002
767.901,0.981
767.921,0.998
767.941,0.962
767.961,0.970
767.981,0.983
768.001,0.936
768.021,0.952
768.041,0.998
768.061,1.114
768.081,1.074
768.101,0.927
768.121,0.963
768.141,1.039
768.161,1.107
768.181,1.055
768.201,1.051
768.221,1.009
768.241,1.006
768.261,1.021
768.281,1.074
768.301,1.039
768.321,1.071
768.341,1.019
768.361,1.030
768.381,0.992
768.401,1.023
768.421,0.994
768.441,1.000
768.461,1.005
768.481,1.007
768.501,1.023
768.521,1.010
768.541,1.038
768.561,1.059
768.581,0.980
768.601,1.022
768.621,1.011
768.641,1.012
768.661,0.984
768.681,0.997
768.701,1.000
768.721,1.019
768.741,1.018
768.761,1.012
768.781,1.024
768.801,1.005
768.821,1.004
768.841,1.016
768.861,1.021
768.881,1.016
768.901,0.987
768.921,1.009
768.941,0.991
768.961,0.994
768.981,0.991
769.001,1.000
769.021,0.991
769.041,0.989
769.061,0.990
769.081,1.027
769.101,0.983
769.121,0.998
769.141,1.053
769.161,1.066
769.181,1.046
769.201,1.047
769.221,1.055
769.241,1.019
769.261,0.982
769.281,0.924
769.301,0.992
769.321,1.042
769.341,1.037
769.361,1.034
769.381,1.010
769.401,1.046
769.421,1.034
769.441,1.038
769.461,1.011
769.481,1.006
769.501,0.999
769.521,0.993
769.541,0.992
769.561,0.997
769.581,0.999
769.601,0.992
769.621,1.081
769.641,1.007
769.661,1.023
769.681,1.006
769.701,1.019
769.721,1.089
769.741,1.001
769.761,1.037
769.781,1.007
769.801,1.034
769.821,1.029
769.841,1.026
769.861,1.017
769.881,1.027
769.901,1.011
769.921,0.978
769.941,0.987
769.961,0.978
769.981,0.999
770.001,0.986
770.021,1.013
770.041,1.009
770.061,1.020
770.081,1.006
770.101,1.001
770.121,1.021
770.141,1.078
770.161,1.014
770.181,0.966
770.201,1.010
770.221,1.030
770.241,1.089
770.261,1.071
770.281,1.059
770.301,1.013
770.321,1.054
770.341,0.978
770.361,0.965
770.381,0.910
770.401,0.944
770.421,0.937
770.441,0.980
770.461,1.006
770.481,1.106
770.501,1.069
770.521,0.956
770.541,0.997
770.561,0.947
770.581,1.118
770.601,1.044
770.621,1.064
770.641,0.976
770.661,0.999
770.681,0.967
770.701,1.058
770.721,0.964
770.741,0.952
770.761,0.980
770.781,0.998
770.801,0.964
770.821,1.045
770.841,1.070
770.861,1.027
770.881,0.916
770.901,1.039
770.921,1.040
770.941,0.989
770.961,0.986
770.981,1.040
771.001,0.988
771.021,1.091
771.041,1.110
771.061,0.909
771.081,0.976
771.101,1.014
771.121,1.057
771.141,0.958
771.161,1.007
771.181,1.055
771.201,1.005
771.221,0.972
771.241,1.030
771.261,1.073
771.281,1.009
771.301,0.989
771.321,1.011
771.341,0.986
771.361,0.896
771.381,0.906
771.401,0.955
771.421,1.032
771.441,0.985
771.461,1.011
771.481,1.042
771.501,0.785
771.521,1.234
771.541,1.321
771.561,1.121
771.581,0.884
771.601,0.784
771.621,0.980
771.641,1.054
771.661,0.914
771.681,0.938
771.701,0.989
771.721,1.106
771.741,0.744
771.761,0.896
771.781,0.931
771.801,1.095
771.821,1.304
771.841,1.217
771.861,1.045
771.881,0.941
771.901,1.081
771.921,1.130
771.941,1.056
771.961,0.995
771.981,0.712
772.001,0.868
772.021,0.969
772.041,0.989
772.061,1.001
772.081,0.955
772.101,0.925
772.121,0.782
772.141,0.980
772.161,1.145
772.181,1.112
772.201,0.960
772.221,0.981
772.241,1.077
772.261,1.068
772.281,1.060
772.301,1.037
772.321,0.947
772.341,0.923
772.361,1.015
772.381,0.945
772.401,0.983
772.421,1.029
772.441,1.111
772.461,1.213
772.481,0.936
772.501,0.986
772.521,0.996
772.541,1.040
772.561,1.048
772.581,1.028
772.601,1.080
772.621,1.011
772.641,0.970
772.661,0.916
772.681,0.899
772.701,0.831
772.721,0.862
772.741,0.946
772.761,1.196
772.781,1.090
772.801,1.081
772.821,1.008
772.841,0.966
772.861,0.993
772.881,1.002
772.901,1.053
772.921,1.032
772.941,1.083
772.961,1.088
772.981,1.043
773.001,1.023
773.021,0.987
773.041,0.974
773.061,1.084
773.081,1.031
773.101,0.978
773.121,0.955
773.141,0.997
773.161,0.975
773.181,1.064
773.201,1.088
773.221,1.060
773.241,1.047
773.261,1.046
773.281,1.037
773.301,1.073
773.321,1.070
773.341,1.025
773.361,1.013
773.381,1.011
773.401,1.043
773.421,0.991
773.441,0.997
773.461,0.989
773.481,0.996
773.501,0.976
773.521,0.980
773.541,0.971
773.561,0.962
773.581,0.953
773.601,1.011
773.621,1.013
773.641,0.995
773.661,0.993
773.681,1.042
773.701,1.074
773.721,1.048
773.741,1.063
773.761,1.053
773.781,1.063
773.801,1.051
773.821,1.012
773.841,1.010
773.861,1.008
773.881,1.001
773.901,0.970
773.921,0.977
773.941,0.993
773.961,0.998
773.981,1.023
774.001,1.016
774.021,1.004
774.041,0.995
774.061,1.026
774.081,0.997
774.101,0.996
774.121,0.987
774.141,0.996
774.161,1.014
774.181,1.021
774.201,1.024
774.221,0.972
774.241,0.988
774.261,0.991
774.281,0.970
774.301,0.955
774.321,0.985
774.341,1.027
774.361,1.030
774.381,1.022
774.401,0.991
774.421,0.987
774.441,1.017
774.461,1.023
774.481,1.049
774.501,1.047
774.521,1.027
774.541,1.029
774.561,1.036
774.581,1.027
774.601,1.017
774.621,1.006
774.641,0.989
774.661,1.005
774.681,1.008
774.701,1.002
774.721,0.992
774.741,1.006
774.761,0.990
774.781,0.999
774.801,1.007
774.821,1.013
774.841,1.020
774.861,1.021
774.881,1.011
774.901,1.019
774.921,1.051
774.941,1.015
774.961,1.001
774.981,1.016
775.001,1.021
775.021,0.986
775.041,0.961
775.061,0.947
775.081,0.967
775.101,0.981
775.121,0.999
775.141,1.005
775.161,1.022
775.181,1.017
775.201,1.008
775.221,1.015
775.241,1.035
775.261,1.048
775.281,1.038
775.301,1.020
775.321,1.017
775.341,1.024
775.361,1.010
775.381,1.006
775.401,1.000
775.421,1.005
775.441,1.002
775.461,1.011
775.481,1.009
775.501,0.999
775.521,0.996
775.541,0.995
775.561,1.018
775.581,0.993
775.601,1.006
775.621,1.027
775.641,1.036
775.661,1.013
775.681,1.018
775.701,1.001
775.721,0.999
775.741,0.977
775.761,0.979
775.781,0.993
775.801,0.998
775.821,1.004
775.841,1.005
775.861,1.021
775.881,1.029
775.901,1.021
775.921,1.030
775.941,0.999
775.961,0.992
775.981,0.991
776.001,0.984
776.021,0.992
776.041,0.996
776.061,0.983
776.081,0.991
776.101,1.020
776.121,1.030
776.141,1.014
776.161,1.017
776.181,1.030
776.201,1.040
776.221,1.043
776.241,1.040
776.261,1.009
776.281,0.975
776.301,0.993
776.321,0.992
776.341,1.019
776.361,1.027
776.381,1.026
776.401,1.025
776.421,1.019
776.441,1.046
776.461,1.073
776.481,1.084
776.501,1.071
776.521,1.047
776.541,1.035
776.561,0.997
776.581,0.952
776.601,0.912
776.621,0.902
776.641,0.898
776.661,0.902
776.681,0.933
776.701,0.964
776.721,0.992
776.741,1.005
776.761,1.023
776.781,1.035
776.801,1.055
776.821,1.042
776.841,1.035
776.861,1.016
776.881,1.027
776.901,1.036
776.921,1.050
776.941,1.047
776.961,1.048
776.981,1.057
777.001,1.042
777.021,1.039
777.041,1.043
777.061,1.044
777.081,1.040
777.101,1.025
777.121,1.023
777.141,1.022
777.161,1.021
777.181,0.999
777.201,0.983
777.221,0.981
777.241,0.991
777.261,0.993
777.281,0.975
777.301,0.983
777.321,1.001
777.341,1.008
777.361,1.032
777.381,1.034
777.401,1.014
777.421,0.991
777.441,0.991
777.461,0.994
777.481,1.024
777.501,1.039
777.521,1.040
777.541,1.026
777.561,1.001
777.581,1.003
777.601,1.022
777.621,1.024
777.641,1.013
777.661,1.000
777.681,1.004
777.701,1.017
777.721,1.006
777.741,0.979
777.761,0.987
777.781,0.994
777.801,0.998
777.821,1.007
777.841,1.007
777.861,1.006
777.881,0.991
777.901,1.017
777.921,1.016
777.941,1.021
777.961,1.009
777.981,0.994
778.001,0.993
778.021,0.994
778.041,0.990
778.061,0.982
778.081,0.979
778.101,0.987
778.121,0.988
778.141,1.008
778.161,1.023
778.181,1.035
778.201,1.019
778.221,1.015
778.241,1.010
778.261,1.002
778.281,1.014
778.301,1.016
778.321,1.014
778.341,1.009
778.361,1.002
778.381,0.995
778.401,0.997
778.421,1.000
778.441,1.007
778.461,1.000
778.481,0.996
778.501,0.982
778.521,1.003
778.541,1.003
778.561,0.995
778.581,1.008
778.601,1.004
778.621,1.021
778.641,1.043
778.661,1.041
778.681,1.022
778.701,0.997
778.721,1.004
778.741,1.011
778.761,1.013
778.781,1.007
778.801,1.017
778.821,1.023
778.841,1.030
778.861,1.032
778.881,1.023
778.901,1.023
778.921,1.012
778.941,1.004
778.961,1.014
778.981,1.010
779.001,1.013
779.021,1.008
779.041,1.000
779.061,0.983
779.081,0.955
779.101,0.962
779.121,0.963
779.141,0.957
779.161,0.963
779.181,0.981
779.201,1.009
779.221,1.017
779.241,1.034
779.261,1.040
779.281,1.059
779.301,1.076
779.321,1.069
779.341,1.059
779.361,1.023
779.381,1.013
779.401,0.989
779.421,0.976
779.441,0.963
779.461,0.968
779.481,0.978
779.501,0.988
779.521,0.994
779.541,1.002
779.561,1.008
779.581,1.002
779.601,1.004
779.621,1.010
779.641,1.007
779.661,1.008
779.681,1.024
779.701,1.050
779.721,1.053
779.741,1.045
779.761,1.026
779.781,1.029
779.801,1.013
779.821,1.001
779.841,0.978
779.861,0.974
779.881,0.980
779.901,0.991
779.921,0.990
779.941,0.994
779.961,1.015
779.981,1.015
780.001,1.006
780.021,1.003
780.041,1.021
780.061,1.025
780.081,1.014
780.101,1.018
780.121,1.017
780.141,1.017
780.161,0.995
780.181,1.000
780.201,0.998
780.221,0.995
780.241,1.003
780.261,0.996
780.281,0.994
780.301,1.001
780.321,1.009
780.341,1.018
780.361,1.021
780.381,1.025
780.401,1.028
780.421,1.023
780.441,0.991
780.461,0.984
780.481,0.967
780.501,0.972
780.521,0.979
780.541,0.995
780.561,1.031
780.581,1.022
780.601,1.043
780.621,1.031
780.641,1.040
780.661,1.048
780.681,1.077
780.701,1.079
780.721,1.046
780.741,1.000
780.761,0.986
780.781,0.994
780.801,0.992
780.821,0.980
780.841,0.955
780.861,0.961
780.881,0.956
780.901,0.969
780.921,0.954
780.941,0.971
780.961,0.993
780.981,0.998
781.001,1.010
781.021,1.027
781.041,1.034
781.061,1.022
781.081,1.004
781.101,0.991
781.121,0.987
781.141,0.996
781.161,1.028
781.181,1.020
781.201,1.021
781.221,1.015
781.241,1.013
781.261,1.013
781.281,1.017
781.301,1.036
781.321,1.025
781.341,1.006
781.361,1.011
781.381,1.020
781.401,1.013
781.421,1.015
781.441,1.011
781.461,1.014
781.481,0.991
781.501,0.999
781.521,0.989
781.541,1.000
781.561,0.995
781.581,0.992
781.601,1.003
781.621,1.020
781.641,1.057
781.661,1.047
781.681,1.027
781.701,1.013
781.721,1.000
781.741,1.010
781.761,1.015
781.781,1.018
781.801,1.003
781.821,1.011
781.841,1.022
781.861,1.027
781.881,1.032
781.901,1.013
781.921,1.007
781.941,1.002
781.961,1.003
781.981,0.972
782.001,0.973
782.021,0.983
782.041,0.987
782.061,0.989
782.081,0.991
782.101,1.004
782.121,1.020
782.141,1.024
782.161,0.987
782.181,0.992
782.201,0.998
782.221,1.011
782.241,1.017
782.261,1.019
782.281,1.042
782.301,1.052
782.321,1.063
782.341,1.036
782.361,1.026
782.381,1.009
782.401,1.009
782.421,1.012
782.441,1.020
782.461,0.991
782.481,0.994
782.501,0.995
782.521,1.003
782.541,1.014
782.561,1.025
782.581,0.995
782.601,0.988
782.621,1.016
782.641,0.997
782.661,0.980
782.681,1.003
782.701,1.037
782.721,1.103
782.741,1.099
782.761,1.078
782.781,1.059
782.801,1.035
782.821,1.006
782.841,0.984
782.861,0.976
782.881,0.983
782.901,0.976
782.921,1.028
782.941,1.018
782.961,0.992
782.981,0.957
783.001,0.961
783.021,0.983
783.041,1.019
783.061,1.024
783.081,1.021
783.101,1.014
783.121,1.019
783.141,0.984
783.161,0.974
783.181,0.955
783.201,0.906
783.221,0.868
783.241,0.857
783.261,0.849
783.281,0.902
783.301,0.918
783.321,0.997
783.341,1.137
783.361,1.268
783.381,1.171
783.401,1.130
783.421,1.121
783.441,1.099
783.461,1.024
783.481,0.940
783.501,0.880
783.521,0.890
783.541,0.926
783.561,0.951
783.581,0.984
783.601,1.024
783.621,0.950
783.641,0.919
783.661,0.920
783.681,0.919
783.701,0.994
783.721,0.959
783.741,1.019
783.761,1.054
783.781,1.085
783.801,1.109
783.821,1.133
783.841,1.069
783.861,1.142
783.881,1.037
783.901,0.773
783.921,1.074
783.941,1.034
783.961,0.984
783.981,1.018
784.001,1.001
784.021,0.983
784.041,1.000
784.061,0.963
784.081,0.975
784.101,0.963
784.121,0.977
784.141,1.004
784.161,0.976
784.181,0.944
784.201,0.960
784.221,0.995
784.241,1.001
784.261,1.000
784.281,1.010
784.301,1.016
784.321,1.003
784.341,1.002
784.361,1.004
784.381,0.988
784.401,1.045
784.421,1.020
784.441,1.029
784.461,1.017
784.481,1.024
784.501,1.150
784.521,1.093
784.541,1.055
784.561,0.994
784.581,1.041
784.601,0.995
784.621,0.958
784.641,0.947
784.661,0.999
784.681,1.041
784.701,1.036
784.721,1.032
784.741,1.007
784.761,1.028
784.781,1.012
784.801,1.036
784.821,1.003
784.841,1.029
784.861,1.013
784.881,1.048
784.901,1.021
784.921,1.015
784.941,1.045
784.961,1.108
784.981,0.892
785.001,1.003
785.021,1.015
785.041,1.029
785.061,1.043
785.081,1.151
785.101,0.964
785.121,1.071
785.141,0.948
785.161,1.001
785.181,0.956
785.201,0.997
785.221,1.006
785.241,1.024
785.261,1.007
785.281,1.059
785.301,1.028
785.321,1.008
785.341,1.002
785.361,1.031
785.381,1.021
785.401,1.069
785.421,1.047
785.441,0.997
785.461,1.020
785.481,0.998
785.501,0.970
785.521,0.990
785.541,1.014
785.561,0.994
785.581,1.017
785.601,1.027
785.621,1.023
785.641,1.002
785.661,1.020
785.681,1.031
785.701,1.034
785.721,1.000
785.741,0.972
785.761,0.946
785.781,0.910
785.801,1.023
785.821,1.055
785.841,1.148
785.861,1.079
785.881,1.022
785.901,1.003
785.921,0.983
785.941,1.021
785.961,1.039
785.981,1.082
786.001,0.945
786.021,0.917
786.041,0.956
786.061,1.017
786.081,1.043
786.101,1.009
786.121,1.073
786.141,1.059
786.161,1.058
786.181,1.047
786.201,1.016
786.221,0.979
786.241,1.012
786.261,1.037
786.281,1.045
786.301,1.074
786.321,1.097
786.341,1.074
786.361,0.958
786.381,0.848
786.401,0.986
786.421,0.945
786.441,1.002
786.461,1.003
786.481,0.965
786.501,0.957
786.521,0.961
786.541,1.003
786.561,1.066
786.581,1.042
786.601,1.017
786.621,0.963
786.641,0.945
786.661,0.876
786.681,0.981
786.701,1.040
786.721,0.926
786.741,1.091
786.761,1.058
786.781,1.152
786.801,1.026
786.821,0.960
786.841,1.035
786.861,1.139
786.881,0.966
786.901,0.954
786.921,1.124
786.941,0.998
786.961,0.847
786.981,0.982
787.001,1.053
787.021,1.010
787.041,0.938
787.061,0.970
787.081,0.964
787.101,0.992
787.121,1.020
787.141,1.069
787.161,1.092
787.181,1.111
787.201,1.018
787.221,1.006
787.241,1.023
787.261,1.022
787.281,1.025
787.301,1.040
787.321,0.941
787.341,0.979
787.361,0.991
787.381,0.970
787.401,0.970
787.421,0.968
787.441,0.953
787.461,0.945
787.481,0.975
787.501,0.970
787.521,0.976
