wallclock_iso,ok,vbat_mv,batt_pct,chg,uptime_s
2026-08-26T12:54:53,1,3502,4,0,151782.659
2026-08-26T13:15:10,1,3490,3,0,153001.44
2026-08-26T13:35:28,1,3493,3,0,154217.55
2026-08-26T13:55:44,1,3487,3,0,155434.197
2026-08-26T14:16:01,1,3487,3,0,156650.906
2026-08-26T14:36:18,1,3481,3,0,157868.034
2026-08-26T14:56:35,1,3481,3,0,159084.563
2026-08-26T15:16:51,1,3475,3,0,160301.243
2026-08-26T15:37:08,1,3473,3,0,161518.613
2026-08-26T15:57:25,1,3470,3,0,162734.482
2026-08-26T16:17:41,1,3464,3,0,163951.103
2026-08-26T16:37:58,1,3461,3,0,165169.912
2026-08-26T16:58:17,1,3455,3,0,166388.451
2026-08-26T17:18:35,1,3458,2,0,167605.159
2026-08-26T17:38:52,1,3452,2,0,168821.868
2026-08-26T17:59:08,1,3443,2,0,170038.517
2026-08-26T18:19:25,1,3443,2,0,171255.256
2026-08-26T18:39:42,1,3440,2,0,172472.414
2026-08-26T18:59:59,1,3431,2,0,173689.872
2026-08-26T19:20:16,1,3428,2,0,174906.611
2026-08-26T19:40:33,1,3416,2,0,176123.681
2026-08-26T20:00:50,1,3419,2,0,177342.399
2026-08-26T20:21:09,1,3413,2,0,178559.14
2026-08-26T20:41:25,1,3407,2,0,179775.938
2026-08-26T21:01:42,1,3396,1,0,180992.678
2026-08-26T21:21:59,1,3393,2,0,182211.486
2026-08-26T21:42:18,1,3390,1,0,183427.955
2026-08-26T22:02:34,1,3390,1,0,184645.594
2026-08-26T22:22:52,1,3381,1,0,185862.674
2026-08-26T22:43:09,0,,,,
2026-08-26T23:03:19,1,3372,1,0,188289.193
2026-08-26T23:23:35,1,3369,1,0,189506.923
2026-08-26T23:43:53,1,3366,1,0,190723.723
2026-08-27T00:04:10,1,3357,1,0,191940.401
2026-08-27T00:24:26,1,3348,1,0,193157.016
2026-08-27T00:44:43,1,3339,0,0,194373.117
2026-08-27T01:04:59,1,3322,0,0,195589.848
2026-08-27T01:25:16,1,3307,0,0,196805.679
2026-08-27T01:45:32,1,3286,0,0,198021.75
2026-08-27T02:05:48,1,3250,0,0,199239.471
2026-08-27T02:26:05,1,3218,0,0,200456.292
2026-08-27T02:46:22,1,3179,0,0,201675.994
2026-08-27T03:06:42,1,3126,0,0,202893.836
2026-08-27T03:27:00,1,3067,0,0,204110.567
2026-08-27T03:47:16,1,2996,0,0,205328.499
2026-08-27T04:07:34,1,2877,0,0,206545.922
2026-08-27T04:27:52,1,2617,0,0,207762.742
2026-08-27T04:48:08,0,,,,
2026-08-27T05:08:19,0,,,,
2026-08-27T05:28:29,0,,,,
2026-08-27T05:48:39,0,,,,
2026-08-27T06:08:50,0,,,,
2026-08-27T06:29:00,0,,,,
